2015-10-02 03:35:39 46.229.164.101  login    danmaku.us Acfun2.1205 "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
2015-10-02 03:36:33 66.249.75.236   browse   danmaku.us Acfun2.1035 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-10-02 03:37:42 46.229.164.98   edit     danmaku.us Bilibili2.1096 "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
2015-10-02 03:37:57 219.133.149.114 browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2015-10-02 03:37:57 219.133.149.114 browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2015-10-02 03:39:51 46.229.164.102  browse   danmaku.us Acfun2.1075 "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
2015-10-02 03:42:02 46.229.164.102  browse   danmaku.us Acfun2.1090 "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
2015-10-02 03:44:10 101.226.166.249 diff     direct.danmaku.us Bilibili2.1001 "http://direct.danmaku.us/Bilibili2/1001?action=diff&minor=y" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-10-02 03:44:41 46.229.164.99   edit     danmaku.us Site.SideBar "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
2015-10-02 03:44:55 101.226.167.212 browse   direct.danmaku.us Acfun2.1158 "http://direct.danmaku.us/Acfun2/1158?Player=mukio" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-10-02 03:46:17 46.229.164.100  login    danmaku.us Bilibili2.1045 "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
2015-10-02 03:47:22 101.226.168.228 browse   direct.danmaku.us Acfun2.1195 "http://direct.danmaku.us/Acfun2/1195?Player=ac20110209" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-10-02 03:48:19 46.229.164.101  browse   danmaku.us Acfun2.1195 "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
2015-10-02 03:49:32 101.226.168.219 browse   www.danmaku.us Acfun2.1063 "http://www.danmaku.us/Acfun2/1063" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-10-02 03:50:28 46.229.164.102  browse   danmaku.us Acfun2.1209 "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
2015-10-02 03:52:26 101.226.166.210 browse   direct.danmaku.us Bilibili2.1112 "http://direct.danmaku.us/Bilibili2/1112" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-10-02 03:52:32 46.229.164.98   edit     danmaku.us Acfun2.1012 "" "Mozilla/5.0 (compatible; SemrushBot/0.99~bl; +http://www.semrush.com/bot.html)"
