2015-08-13 01:24:30 101.226.166.241 print    danmaku.us Acfun2.1068 "http://danmaku.us/Acfun2/1068?action=print" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-08-13 01:28:48 66.249.65.158   browse   danmaku.us . "" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-08-13 01:38:52 220.181.108.86  browse   direct.danmaku.us . "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-08-13 01:48:18 101.226.167.252 browse   direct.danmaku.us Acfun2.1026 "http://direct.danmaku.us/Acfun2/1026?Player=ac20110209" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-08-13 01:48:20 207.241.229.31  browse   danmaku.us Category.音乐 "http://danmaku.us/" "Mozilla/5.0 (compatible; archive.org_bot +http://www.archive.org/details/archive.org_bot)"
2015-08-13 01:54:06 124.163.209.67  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022)"
2015-08-13 01:54:06 124.163.209.67  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022)"
2015-08-13 01:56:33 106.184.1.201   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2015-08-13 01:56:33 106.184.1.201   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2015-08-13 02:00:49 106.38.241.173  browse   danmaku.us . "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2015-08-13 02:01:09 106.38.241.173  browse   danmaku.us Bilibili2.HomePage "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2015-08-13 02:01:27 106.38.241.173  browse   danmaku.us PmWikiZhCn.ImagesChina "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2015-08-13 02:01:47 106.38.241.173  browse   danmaku.us Bilibili2.1077 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2015-08-13 02:02:07 106.38.241.173  browse   danmaku.us Acfun2.1188 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2015-08-13 02:02:24 106.38.241.173  browse   danmaku.us AcfunN1.1003 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2015-08-13 02:02:41 106.38.241.173  browse   danmaku.us Bilibili2.1070 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2015-08-13 02:02:57 106.38.241.173  browse   danmaku.us Bilibili2.1112 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2015-08-13 02:03:12 106.38.241.173  browse   danmaku.us . "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
2015-08-13 02:03:26 106.38.241.173  browse   danmaku.us Acfun2.1002 "" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
